Date,Volume_Category
2017-10-16,high
2017-10-28,low
2017-10-17,medium
2017-11-22,high
2017-11-30,medium
2017-11-24,low
2017-12-21,high
2017-12-28,medium
2017-12-2,low
2018-1-2,high
2018-1-24,medium
2018-1-20,low
2018-2-26,high
2018-2-28,medium
2018-2-3,low
2018-3-19,high
2018-3-16,medium
2018-3-31,low
2018-4-23,high
2018-4-18,medium
2018-4-7,low
2018-5-13,high
2018-5-16,medium
2018-5-27,low
2018-6-11,high
2018-6-27,medium
2018-6-2,low
2018-7-13,high
2018-7-11,medium
2018-7-4,low
2018-8-31,high
2018-8-15,medium
2018-8-25,low
2018-9-27,high
2018-9-12,medium
2018-9-2,low
