,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,104,62,106,43,9,104,62,106,44,9,325,324,11.0,649
1,34,19,34,19,5,34,19,36,21,7,117,111,14.0,228
2,26,19,29,15,3,27,19,31,15,3,95,92,17.0,187
3,21,14,24,14,3,21,14,26,15,3,79,76,7.0,155
4,15,7,14,7,2,15,9,14,7,3,48,45,11.0,93
5,17,12,24,10,5,19,14,26,12,7,78,68,7.0,146
6,34,27,39,24,14,34,27,41,24,15,141,138,12.0,279
7,87,58,92,62,32,87,60,94,63,34,338,331,20.0,669
8,150,106,157,108,56,152,106,159,109,58,584,577,16.0,1161
9,244,178,260,173,94,244,178,261,174,94,951,949,29.0,1900
10,313,224,352,224,114,314,226,354,224,114,1232,1227,40.0,2459
11,463,338,513,342,190,465,338,513,342,191,1849,1846,76.0,3695
12,326,222,321,207,120,328,224,323,207,120,1202,1196,86.0,2398
13,248,161,246,147,87,248,162,246,149,87,892,889,173.0,1781
14,319,231,357,220,126,321,232,359,220,126,1258,1253,249.0,2511
15,333,249,378,249,135,335,251,379,251,135,1351,1344,397.0,2695
16,316,217,359,203,103,318,217,359,205,104,1203,1198,378.0,2401
17,412,270,425,241,118,412,272,427,241,118,1470,1466,252.0,2936
18,477,314,499,280,125,478,316,499,280,126,1699,1695,172.0,3394
19,451,260,453,282,99,451,261,454,282,99,1547,1545,126.0,3092
20,381,212,419,226,77,381,214,420,227,79,1321,1315,100.0,2636
21,374,234,434,243,96,374,234,434,243,96,1381,1381,129.0,2762
22,364,237,384,217,85,366,239,386,217,87,1295,1287,130.0,2582
23,319,234,405,196,87,321,236,405,196,89,1247,1241,122.0,2488
24,316,190,325,191,70,316,190,325,191,70,1092,1092,125.0,2184
25,361,239,384,258,99,362,239,384,258,99,1342,1341,122.0,2683
26,419,287,470,243,108,419,289,470,244,108,1530,1527,125.0,3057
27,417,272,473,273,99,419,273,473,275,101,1541,1534,91.0,3075
28,347,219,407,243,68,347,220,407,244,70,1288,1284,99.0,2572
29,328,217,381,215,72,328,219,381,217,73,1218,1213,124.0,2431
30,449,251,420,267,73,451,253,422,267,75,1468,1460,138.0,2928
31,359,215,390,212,60,359,217,391,214,60,1241,1236,167.0,2477
32,337,191,325,200,48,338,191,325,200,48,1102,1101,196.0,2203
33,361,226,410,166,50,361,227,410,166,51,1215,1213,248.0,2428
34,405,226,427,202,58,407,226,429,202,58,1322,1318,276.0,2640
35,340,207,432,196,41,342,208,434,198,41,1223,1216,247.0,2439
36,282,162,306,169,31,282,162,308,169,31,952,950,183.0,1902
37,287,171,309,130,34,287,171,311,132,36,937,931,148.0,1868
38,308,196,350,145,38,309,196,352,145,38,1040,1037,83.0,2077
39,241,152,296,157,27,241,152,297,159,29,878,873,60.0,1751
40,178,99,195,103,24,179,99,196,104,24,602,599,76.0,1201
41,243,152,251,128,26,244,154,251,130,27,806,800,66.0,1606
42,261,169,306,126,27,263,169,308,126,29,895,889,45.0,1784
43,210,109,203,103,21,212,109,205,104,21,651,646,66.0,1297
44,162,87,171,82,17,162,89,173,84,19,527,519,38.0,1046
45,155,85,174,97,15,157,85,176,97,15,530,526,36.0,1056
46,118,70,142,72,9,118,70,144,72,10,414,411,22.0,825
47,92,48,96,44,9,94,48,97,44,10,293,289,32.0,582
